soc,ocv[v],Total Time,Step Time,Voltage [V],Current [A],Battery Temperature [ÅãC],Chamber Temperature [ÅãC]
20,3.129921,2374.17,0.5,3.105,10.004,55.5,60
20,3.129921,2374.67,1,3.101666667,10.017,55.5,60
20,3.129921,2375.17,1.5,3.098333333,10.028,55.5,60
20,3.129921,2375.67,2,3.096666667,10.018,55.5,60
20,3.129921,2376.17,2.5,3.093333333,10.007,55.4,60
20,3.129921,2376.67,3,3.091666667,10.009,55.4,60
20,3.129921,2377.17,3.5,3.09,10.008,55.5,60
20,3.129921,2377.67,4,3.088333333,10.012,55.5,60
20,3.129921,2378.17,4.5,3.086666667,10.02,55.5,60
20,3.129921,2378.67,5,3.085,10.021,55.5,60
20,3.129921,2379.17,5.5,3.083333333,10.006,55.5,60
20,3.129921,2379.67,6,3.081666667,10.018,55.5,60
20,3.129921,2380.17,6.5,3.08,10.002,55.4,60
20,3.129921,2380.67,7,3.078333333,10.002,55.4,60
20,3.129921,2381.17,7.5,3.076666667,9.995,55.4,60
20,3.129921,2381.67,8,3.075,9.997,55.4,60
20,3.129921,2382.17,8.5,3.073333333,10.008,55.4,60
20,3.129921,2382.67,9,3.071666667,10.016,55.5,60
20,3.129921,2383.17,9.5,3.07,10.007,55.5,60
20,3.129921,2383.67,10,3.068333333,10.001,55.4,60
20,3.129921,2384.17,10.5,3.066666667,10.009,55.4,60
20,3.129921,2384.67,11,3.065,10.015,55.4,60
20,3.129921,2385.17,11.5,3.063333333,10.009,55.4,60
20,3.129921,2385.67,12,3.061666667,10.017,55.4,60
20,3.129921,3003.85,0.5,3.175,-19.975,55.9,60
20,3.129921,3004.35,1,3.181666667,-19.989,55.9,60
20,3.129921,3004.85,1.5,3.186666667,-19.993,56,60
20,3.129921,3005.35,2,3.19,-19.99,56,60
20,3.129921,3005.85,2.5,3.195,-19.987,56,60
20,3.129921,3006.35,3,3.198333333,-19.989,56,60
20,3.129921,3006.85,3.5,3.203333333,-19.989,56,60
20,3.129921,3007.35,4,3.205,-19.985,56,60
20,3.129921,3007.85,4.5,3.208333333,-19.988,56,60
20,3.129921,3008.35,5,3.211666667,-19.992,55.9,60
20,3.129921,3008.85,5.5,3.215,-20.009,55.9,60
20,3.129921,3009.35,6,3.22,-20.012,56,60
20,3.129921,3009.85,6.5,3.223333333,-20.009,56,60
20,3.129921,3010.35,7,3.225,-20.002,56,60
20,3.129921,3010.85,7.5,3.228333333,-19.989,56,60
20,3.129921,3011.35,8,3.231666667,-19.981,55.9,60
20,3.129921,3011.85,8.5,3.235,-19.986,55.9,60
20,3.129921,3012.35,9,3.238333333,-19.992,55.9,60
20,3.129921,3012.85,9.5,3.241666667,-19.997,55.9,60
20,3.129921,3013.35,10,3.243333333,-20.004,55.9,60
20,3.129921,3013.85,10.5,3.246666667,-20.001,55.9,60
20,3.129921,3014.35,11,3.25,-20.008,55.9,60
20,3.129921,3014.85,11.5,3.253333333,-20.002,56,60
20,3.129921,3015.35,12,3.255,-20.013,56,60
20,3.129921,3633.5,0.5,3.095,16.013,56.2,60
20,3.129921,3634,1,3.09,16.009,56.2,60
20,3.129921,3634.5,1.5,3.086666667,16.021,56.2,60
20,3.129921,3635,2,3.083333333,16.009,56.2,60
20,3.129921,3635.5,2.5,3.08,15.998,56.2,60
20,3.129921,3636,3,3.076666667,15.991,56.2,60
20,3.129921,3636.5,3.5,3.073333333,16.008,56.2,60
20,3.129921,3637,4,3.071666667,16,56.2,60
20,3.129921,3637.5,4.5,3.066666667,16.011,56.2,60
20,3.129921,3638,5,3.065,16.027,56.2,60
20,3.129921,3638.5,5.5,3.063333333,16.005,56.2,60
20,3.129921,3639,6,3.06,16,56.2,60
20,3.129921,3639.5,6.5,3.056666667,15.999,56.2,60
20,3.129921,3640,7,3.053333333,16.015,56.2,60
20,3.129921,3640.5,7.5,3.05,16.009,56.2,60
20,3.129921,3641,8,3.048333333,16.011,56.2,60
20,3.129921,3641.5,8.5,3.045,16.018,56.2,60
20,3.129921,3642,9,3.043333333,16.011,56.2,60
20,3.129921,3642.5,9.5,3.04,15.998,56.2,60
20,3.129921,3643,10,3.038333333,16.005,56.2,60
20,3.129921,3643.5,10.5,3.035,16.006,56.2,60
20,3.129921,3644,11,3.033333333,16.003,56.2,60
20,3.129921,3644.5,11.5,3.03,16.013,56.2,60
20,3.129921,3645,12,3.026666667,16.023,56.2,60
20,3.129921,4263.14,0.5,3.198333333,-30.018,56.4,60
20,3.129921,4263.64,1,3.206666667,-30.019,56.4,60
20,3.129921,4264.14,1.5,3.215,-30.005,56.4,60
20,3.129921,4264.64,2,3.221666667,-30.012,56.4,60
20,3.129921,4265.14,2.5,3.228333333,-30.009,56.4,60
20,3.129921,4265.64,3,3.233333333,-30.004,56.4,60
20,3.129921,4266.14,3.5,3.238333333,-29.989,56.4,60
20,3.129921,4266.64,4,3.245,-29.981,56.4,60
20,3.129921,4267.14,4.5,3.25,-29.947,56.4,60
20,3.129921,4267.64,5,3.255,-29.961,56.4,60
20,3.129921,4268.14,5.5,3.26,-29.952,56.4,60
20,3.129921,4268.64,6,3.263333333,-29.978,56.4,60
