Total Time,Step Time,Voltage [V],Current [A],Battery Temperature [ÅãC],Chamber Temperature [ÅãC]
7.06,1,20.83,9.979,28,25.9
8.06,2,20.8,9.985,28,25.9
9.06,3,20.77,9.999,27.9,25.9
10.06,4,20.74,10.004,27.9,25.9
11.06,5,20.72,9.992,27.9,25.8
12.06,6,20.7,9.989,27.9,25.8
13.06,7,20.68,9.995,27.8,25.8
14.06,8,20.66,10.017,27.8,25.8
15.06,9,20.64,10.005,27.8,25.8
16.06,10,20.62,9.989,27.8,25.8
17.06,11,20.61,9.985,27.8,25.8
18.06,12,20.59,9.984,27.8,25.7
19.06,13,20.57,9.998,27.8,25.7
20.06,14,20.56,10.007,27.7,25.7
21.06,15,20.54,9.993,27.7,25.7
22.06,16,20.52,9.989,27.7,25.7
23.06,17,20.51,10,27.7,25.7
24.06,18,20.49,10,27.7,25.6
25.06,19,20.48,9.989,27.7,25.6
26.06,20,20.46,10.004,27.6,25.6
27.06,21,20.45,10.002,27.6,25.6
28.06,22,20.43,9.975,27.6,25.6
29.06,23,20.41,9.996,27.6,25.6
30.06,24,20.4,10.009,27.5,25.5
31.06,25,20.38,9.989,27.5,25.5
32.06,26,20.37,9.981,27.5,25.5
33.06,27,20.35,10,27.5,25.5
34.06,28,20.34,10.002,27.5,25.5
35.06,29,20.32,9.989,27.5,25.4
36.06,30,20.3,9.992,27.4,25.4
37.06,31,20.29,10.016,27.4,25.4
38.06,32,20.28,9.995,27.4,25.4
39.06,33,20.26,9.978,27.4,25.4
40.06,34,20.24,9.985,27.4,25.4
41.06,35,20.23,10.001,27.3,25.3
42.06,36,20.21,9.991,27.3,25.3
43.06,37,20.2,9.99,27.4,25.3
44.06,38,20.18,10.01,27.3,25.3
45.06,39,20.17,10.002,27.3,25.3
46.06,40,20.15,9.988,27.3,25.3
47.06,41,20.13,9.997,27.2,25.2
48.06,42,20.12,10.01,27.2,25.2
49.06,43,20.1,9.98,27.2,25.2
50.06,44,20.09,9.984,27.2,25.2
51.06,45,20.07,9.999,27.2,25.2
52.06,46,20.05,10.006,27.2,25.2
53.06,47,20.04,9.988,27.2,25.2
54.06,48,20.02,9.982,27.2,25.1
55.06,49,20.01,9.985,27.2,25.1
56.06,50,19.99,9.997,27.1,25.1
57.06,51,19.98,10.001,27.1,25.1
58.06,52,19.96,10.002,27.1,25.1
59.06,53,19.94,9.994,27.1,25.1
60.06,54,19.93,9.99,27.1,25
61.06,55,19.91,9.987,27.1,25
62.06,56,19.9,9.991,27,25
63.06,57,19.89,9.99,27,25
64.06,58,19.87,9.988,27,25
65.06,59,19.85,9.991,27,25
66.06,60,19.84,9.997,27,24.9
67.06,61,19.82,10.006,27.1,24.9
68.06,62,19.8,10.008,27.1,24.9
69.06,63,19.79,10.012,27,24.9
70.06,64,19.77,10.009,27,24.9
71.06,65,19.75,10.001,27,24.9
72.06,66,19.74,9.992,27,24.8
73.06,67,19.72,9.987,27,24.8
74.06,68,19.71,9.979,27,24.8
75.06,69,19.69,9.983,26.9,24.8
76.06,70,19.67,9.991,26.9,24.8
77.06,71,19.66,10,26.9,24.8
78.06,72,19.65,9.996,26.9,24.7
79.06,73,19.63,9.985,26.9,24.7
80.06,74,19.62,9.985,26.9,24.7
81.06,75,19.6,9.994,26.9,24.7
82.06,76,19.58,10.009,26.9,24.7
83.06,77,19.56,10.004,26.8,24.7
84.06,78,19.55,9.988,26.8,24.7
85.06,79,19.53,9.995,26.8,24.7
86.06,80,19.51,10.018,26.8,24.7
87.06,81,19.5,9.982,26.8,24.7
88.06,82,19.48,9.979,26.8,24.7
89.06,83,19.47,10.008,26.8,24.7
90.06,84,19.45,9.983,26.8,24.7
91.06,85,19.43,10,26.8,24.7
92.06,86,19.42,9.99,26.8,24.7
93.06,87,19.4,10.005,26.8,24.7
94.06,88,19.39,9.993,26.8,24.7
95.06,89,19.37,9.988,26.8,24.7
96.06,90,19.36,9.992,26.8,24.7
97.06,91,19.34,9.991,26.7,24.7
98.06,92,19.32,9.996,26.8,24.7
99.06,93,19.31,9.993,26.8,24.7
100.06,94,19.29,9.999,26.7,24.7
101.06,95,19.27,9.986,26.7,24.7
102.06,96,19.26,10.004,26.8,24.6
103.06,97,19.24,9.984,26.7,24.7
104.06,98,19.22,10.009,26.7,24.7
105.06,99,19.21,9.992,26.7,24.7
106.06,100,19.19,9.997,26.7,24.7
107.06,101,19.17,10,26.7,24.7
108.06,102,19.15,9.979,26.7,24.7
109.06,103,19.14,10.001,26.7,24.7
110.06,104,19.12,9.985,26.8,24.7
111.06,105,19.11,10.005,26.7,24.7
112.06,106,19.09,9.991,26.7,24.7
113.06,107,19.07,10.011,26.7,24.7
114.06,108,19.05,9.983,26.7,24.7
115.06,109,19.04,9.995,26.7,24.7
116.06,110,19.02,10.004,26.7,24.7
117.06,111,19,9.981,26.7,24.7
118.06,112,18.98,10.005,26.7,24.7
119.06,113,18.97,9.988,26.7,24.7
120.06,114,18.95,10.003,26.7,24.7
121.06,115,18.94,9.997,26.7,24.7
